scenarioId,category,scenarioName,productId,variantId,tourId,inventoryId,evidence,fixtureFile,firstVerifiedAt,lastVerifiedAt,status
field.matrix.location.all_customer,Field Level x Type Matrix,LOCATION field at ALL_CUSTOMER level,33907,34386,34386,460491301,"field CUSTOM_183502 (LOCATION, ALL_CUSTOMER)",fixtures/field.matrix.location.all_customer__34386.json,2026-08-17T19:18:06.956Z,2026-08-19T07:21:04.519Z,OK
field.matrix.location.all_customer,Field Level x Type Matrix,LOCATION field at ALL_CUSTOMER level,24145,55771,55771,534113450,"field CUSTOM_180152 (LOCATION, ALL_CUSTOMER)",fixtures/field.matrix.location.all_customer__55771.json,2026-08-17T19:28:00.136Z,2026-08-19T07:21:06.604Z,OK
field.matrix.location.booking,Field Level x Type Matrix,LOCATION field at BOOKING level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:16.054Z,2026-08-19T07:33:16.054Z,NOT_FOUND
field.matrix.location.primary_customer,Field Level x Type Matrix,LOCATION field at PRIMARY_CUSTOMER level,14828,54930,54930,545549803,"field CUSTOM_178257 (LOCATION, PRIMARY_CUSTOMER)",fixtures/field.matrix.location.primary_customer__54930.json,2026-08-17T18:45:59.225Z,2026-08-19T07:20:40.931Z,OK
field.matrix.location.primary_customer,Field Level x Type Matrix,LOCATION field at PRIMARY_CUSTOMER level,14828,80963,80963,545552959,"field CUSTOM_272968 (LOCATION, PRIMARY_CUSTOMER)",fixtures/field.matrix.location.primary_customer__80963.json,2026-08-17T18:45:59.229Z,2026-08-19T07:20:42.217Z,OK
field.matrix.string.all_customer,Field Level x Type Matrix,STRING field at ALL_CUSTOMER level,23340,90547,90547,534574017,"field NAME (STRING, ALL_CUSTOMER)",fixtures/field.matrix.string.all_customer__90547.json,2026-08-17T18:47:34.400Z,2026-08-19T07:20:46.757Z,OK
field.matrix.string.all_customer,Field Level x Type Matrix,STRING field at ALL_CUSTOMER level,23341,90547,90547,534574017,"field NAME (STRING, ALL_CUSTOMER)",fixtures/field.matrix.string.all_customer__90547.json,2026-08-17T18:47:36.118Z,2026-08-19T07:20:49.310Z,OK
field.matrix.string.booking,Field Level x Type Matrix,STRING field at BOOKING level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.755Z,2026-08-19T07:33:15.755Z,NOT_FOUND
field.matrix.string.primary_customer,Field Level x Type Matrix,STRING field at PRIMARY_CUSTOMER level,14122,26838,26838,551657994,"field NAME (STRING, PRIMARY_CUSTOMER)",fixtures/field.matrix.string.primary_customer__26838.json,2026-08-17T18:45:07.775Z,2026-08-19T07:20:33.227Z,OK
field.matrix.string.primary_customer,Field Level x Type Matrix,STRING field at PRIMARY_CUSTOMER level,14122,32468,32468,532641687,"field NAME (STRING, PRIMARY_CUSTOMER)",fixtures/field.matrix.string.primary_customer__32468.json,2026-08-17T18:45:07.780Z,2026-08-19T07:20:36.738Z,OK
field.semantics.dob,Checkout Input Fields,"Date of Birth field (by name — real sandbox examples encode as dataType STRING, not DATE)",20840,40974,40974,568402585,"field CUSTOM_138848 ""Date of Birth"" (STRING)",fixtures/field.semantics.dob__40974.json,2026-08-17T18:53:24.230Z,2026-08-19T07:20:54.182Z,OK
field.semantics.dob,Checkout Input Fields,"Date of Birth field (by name — real sandbox examples encode as dataType STRING, not DATE)",20840,41246,41246,568423246,"field CUSTOM_138850 ""Date of Birth"" (STRING)",fixtures/field.semantics.dob__41246.json,2026-08-17T18:53:24.233Z,2026-08-19T07:20:54.825Z,OK
field.semantics.numeric_as_string,Checkout Input Fields,"Field with numeric real-world meaning (weight/height) but dataType=STRING, not INT/FLOAT",15371,28840,28840,556746530,"field CUSTOM_177565 ""Weight"" (STRING)",fixtures/field.semantics.numeric_as_string__28840.json,2026-08-17T19:57:26.044Z,2026-08-19T07:21:07.965Z,OK
field.semantics.numeric_as_string,Checkout Input Fields,"Field with numeric real-world meaning (weight/height) but dataType=STRING, not INT/FLOAT",24608,49152,49152,583484938,"field CUSTOM_160724 ""Weight"" (STRING)",fixtures/field.semantics.numeric_as_string__49152.json,2026-08-17T20:13:32.326Z,2026-08-19T07:21:10.078Z,OK
field.semantics.passport,Checkout Input Fields,"Passport / ID document field (by name/description, not id)",33762,71533,71533,568859155,"field CUSTOM_235806 ""Passport Details"" (STRING)",fixtures/field.semantics.passport__71533.json,2026-08-17T19:13:50.147Z,2026-08-19T07:21:01.670Z,OK
field.semantics.passport,Checkout Input Fields,"Passport / ID document field (by name/description, not id)",33762,71534,71534,568505899,"field CUSTOM_235812 ""Passport Details"" (STRING)",fixtures/field.semantics.passport__71534.json,2026-08-17T19:13:50.149Z,2026-08-19T07:21:02.369Z,OK
field.type.bool,Checkout Input Fields,Boolean (waiver/consent) field,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.453Z,2026-08-19T07:33:15.453Z,NOT_FOUND
field.type.enum,Checkout Input Fields,Enum/dropdown field,23338,45780,45780,534583422,"field CUSTOM_146542 ""Pick-up details"" (ENUM)",fixtures/field.type.enum__45780.json,2026-08-17T18:47:25.984Z,2026-08-19T07:20:44.208Z,OK
field.type.enum,Checkout Input Fields,Enum/dropdown field,23342,45784,45784,534239938,"field CUSTOM_146558 ""Pick-up details"" (ENUM)",fixtures/field.type.enum__45784.json,2026-08-17T18:47:47.924Z,2026-08-19T07:20:50.088Z,OK
field.type.location.free_text,Location Fields,Free-text LOCATION field,14828,54930,54930,545549803,"LOCATION field CUSTOM_178257, predefined=false",fixtures/field.type.location.free_text__54930.json,2026-08-17T18:45:59.222Z,2026-08-19T07:20:40.290Z,OK
field.type.location.free_text,Location Fields,Free-text LOCATION field,14828,80963,80963,545552959,"LOCATION field CUSTOM_272968, predefined=false",fixtures/field.type.location.free_text__80963.json,2026-08-17T18:45:59.228Z,2026-08-19T07:20:41.574Z,OK
field.type.location.predefined,Location Fields,Predefined/dropdown LOCATION field,15668,29302,29302,545143685,"LOCATION field CUSTOM_235892, predefined=true",fixtures/field.type.location.predefined__29302.json,2026-08-17T19:10:57.927Z,2026-08-19T07:21:00.327Z,OK
field.type.location.predefined,Location Fields,Predefined/dropdown LOCATION field,20321,39975,39975,543585164,"LOCATION field CUSTOM_272990, predefined=true",fixtures/field.type.location.predefined__39975.json,2026-08-17T19:04:34.989Z,2026-08-19T07:20:58.935Z,OK
field.type.location.predefined_timed,Location Fields,Predefined location with timingConfig window,15668,29302,29302,545143685,"LOCATION field CUSTOM_235892, predefined=true",fixtures/field.type.location.predefined_timed__29302.json,2026-08-17T19:10:57.930Z,2026-08-19T07:21:00.993Z,OK
field.type.location.predefined_timed,Location Fields,Predefined location with timingConfig window,20321,39975,39975,543585164,"LOCATION field CUSTOM_272990, predefined=true",fixtures/field.type.location.predefined_timed__39975.json,2026-08-17T19:04:34.997Z,2026-08-19T07:20:59.596Z,OK
field.type.numeric_bounded,Checkout Input Fields,"Bounded numeric field (dataType INT/FLOAT with min/max) — rare; most numeric-looking fields are actually STRING, see field.semantics.numeric_as_string",,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.504Z,2026-08-19T07:33:15.504Z,NOT_FOUND
field.type.unknown,Forward Compatibility,Field with a dataType outside the documented STRING/ENUM/BOOL/INT/FLOAT/LOCATION enum,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.706Z,2026-08-19T07:33:15.706Z,NOT_FOUND
field.values_shape.null,Validation Values Shape,validation.values = null (no constraint) on a non-LOCATION field,14122,26838,26838,551657994,field NAME (STRING) validation.values shape=null,fixtures/field.values_shape.null__26838.json,2026-08-17T18:45:07.774Z,2026-08-19T07:20:32.485Z,OK
field.values_shape.null,Validation Values Shape,validation.values = null (no constraint) on a non-LOCATION field,14122,32468,32468,532641687,field NAME (STRING) validation.values shape=null,fixtures/field.values_shape.null__32468.json,2026-08-17T18:45:07.779Z,2026-08-19T07:20:36.013Z,OK
field.values_shape.wrapped_enum,Validation Values Shape,"validation.values as {type:TEXT, value:[...]} wrapper (ENUM) — only appears on GET /v2/inventories/{id}, never on the Product API",23338,45780,45780,534583423,field 146542 (ENUM) validation.values shape=wrapped(TEXT),fixtures/field.values_shape.wrapped_enum__45780.json,2026-08-17T22:49:28.468Z,2026-08-19T07:21:11.258Z,OK
field.values_shape.wrapped_enum,Validation Values Shape,"validation.values as {type:TEXT, value:[...]} wrapper (ENUM) — only appears on GET /v2/inventories/{id}, never on the Product API",23342,45784,45784,534239939,field 146558 (ENUM) validation.values shape=wrapped(TEXT),fixtures/field.values_shape.wrapped_enum__45784.json,2026-08-17T22:49:48.898Z,2026-08-19T07:21:12.484Z,OK
field.values_shape.wrapped_location,Validation Values Shape,"validation.values as {type:PREDEFINED_LOCATION, value:[...]} wrapper — only appears on GET /v2/inventories/{id}, never on the Product API",46899,100059,100059,562522129,field 353237 (LOCATION) validation.values shape=wrapped(PREDEFINED_LOCATION),fixtures/field.values_shape.wrapped_location__100059.json,2026-08-17T23:11:44.502Z,2026-08-19T07:21:14.882Z,OK
field.values_shape.wrapped_location,Validation Values Shape,"validation.values as {type:PREDEFINED_LOCATION, value:[...]} wrapper — only appears on GET /v2/inventories/{id}, never on the Product API",45062,96647,96647,550665238,field 331986 (LOCATION) validation.values shape=wrapped(PREDEFINED_LOCATION),fixtures/field.values_shape.wrapped_location__96647.json,2026-08-17T23:11:08.055Z,2026-08-19T07:21:13.680Z,OK
inventory.field_override,Inventory Overrides,Inventory-level input fields differ from variant-level default,793,1268,1268,543469460,"inventory 543469460: +[Weight] -[Pickup Location,Weight]",fixtures/inventory.field_override__1268.json,2026-08-19T07:08:38.378Z,2026-08-19T07:21:17.769Z,OK
inventory.field_override,Inventory Overrides,Inventory-level input fields differ from variant-level default,41693,90132,90132,543516075,inventory 543516075: +[Pickup Location] -[],fixtures/inventory.field_override__90132.json,2026-08-19T07:15:20.802Z,2026-08-19T07:21:18.982Z,OK
product.confirmation.delayed,Product Structuring,Delayed confirmation product (hasInstantConfirmation=false),14122,26838,26838,551657994,hasInstantConfirmation=false,fixtures/product.confirmation.delayed__26838.json,2026-08-17T18:45:07.772Z,2026-08-19T07:20:31.059Z,OK
product.confirmation.delayed,Product Structuring,Delayed confirmation product (hasInstantConfirmation=false),14122,32468,32468,532641687,hasInstantConfirmation=false,fixtures/product.confirmation.delayed__32468.json,2026-08-17T18:45:07.777Z,2026-08-19T07:20:34.635Z,OK
product.inventory_selection.seatmap,Seatmap,Seatmap-selection product (vs NORMAL),38078,81403,81403,546015063,inventorySelectionType=SEATMAP,fixtures/product.inventory_selection.seatmap__81403.json,2026-08-17T18:53:54.223Z,2026-08-19T07:20:55.627Z,OK
product.inventory_selection.seatmap,Seatmap,Seatmap-selection product (vs NORMAL),38741,82992,82992,570577314,inventorySelectionType=SEATMAP,fixtures/product.inventory_selection.seatmap__82992.json,2026-08-17T19:42:16.433Z,2026-08-19T07:21:07.263Z,OK
product.inventory_selection.svg,Seatmap,"inventorySelectionType=SVG — undocumented third value alongside NORMAL/SEATMAP, found via payload diffing (not in docs)",42057,90863,90863,557541438,inventorySelectionType=SVG,fixtures/product.inventory_selection.svg__90863.json,2026-08-17T18:48:17.308Z,2026-08-19T07:20:51.461Z,OK
product.inventory_selection.svg,Seatmap,"inventorySelectionType=SVG — undocumented third value alongside NORMAL/SEATMAP, found via payload diffing (not in docs)",42057,90864,90864,557541449,inventorySelectionType=SVG,fixtures/product.inventory_selection.svg__90864.json,2026-08-17T18:48:17.311Z,2026-08-19T07:20:52.169Z,OK
product.type.transfer,Product Structuring,TRANSFER / AIRPORT_TRANSFER product type,11012,20691,20691,561104790,productType=TRANSFER,fixtures/product.type.transfer__20691.json,2026-08-17T18:54:26.925Z,2026-08-19T07:20:56.456Z,OK
product.type.transfer,Product Structuring,TRANSFER / AIRPORT_TRANSFER product type,11012,20692,20692,561105949,productType=TRANSFER,fixtures/product.type.transfer__20692.json,2026-08-17T18:54:26.927Z,2026-08-19T07:20:58.125Z,OK
product.variant_count.multi,Product Structuring,Product with 3+ variants,14122,26838,26838,551657994,variantCount=5,fixtures/product.variant_count.multi__26838.json,2026-08-17T18:45:07.768Z,2026-08-19T07:20:30.351Z,OK
product.variant_count.multi,Product Structuring,Product with 3+ variants,14122,32468,32468,532641687,variantCount=5,fixtures/product.variant_count.multi__32468.json,2026-08-17T18:45:07.776Z,2026-08-19T07:20:33.944Z,OK
variant.cancellation.cutoff_window,Cancellation,Cancellable-up-to cutoff window variant,5073,44762,44762,576890160,cancellable=true cutoff=2880,fixtures/variant.cancellation.cutoff_window__44762.json,2026-08-17T18:45:48.324Z,2026-08-19T07:20:39.629Z,OK
variant.cancellation.cutoff_window,Cancellation,Cancellable-up-to cutoff window variant,33426,72682,72682,567894865,cancellable=true cutoff=2880,fixtures/variant.cancellation.cutoff_window__72682.json,2026-08-17T18:45:13.567Z,2026-08-19T07:20:37.421Z,OK
variant.cancellation.nonrefundable,Cancellation,Non-cancellable / non-refundable variant,14122,26838,26838,551657994,cancellable=false cutoff=null,fixtures/variant.cancellation.nonrefundable__26838.json,2026-08-17T18:45:07.773Z,2026-08-19T07:20:31.772Z,OK
variant.cancellation.nonrefundable,Cancellation,Non-cancellable / non-refundable variant,14122,32468,32468,532641687,cancellable=false cutoff=null,fixtures/variant.cancellation.nonrefundable__32468.json,2026-08-17T18:45:07.778Z,2026-08-19T07:20:35.325Z,OK
variant.cashback.present,Product Structuring,Variant with cashback,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.606Z,2026-08-19T07:33:15.606Z,NOT_FOUND
variant.pax.min_max_nondefault,Pax/Pack Types,Non-default min/max pax per booking,18194,34761,34761,550327242,pax min=2 max=10,fixtures/variant.pax.min_max_nondefault__34761.json,2026-08-17T18:47:09.133Z,2026-08-19T07:20:43.576Z,OK
variant.pax.min_max_nondefault,Pax/Pack Types,Non-default min/max pax per booking,23338,45780,45780,534583422,pax min=2 max=10,fixtures/variant.pax.min_max_nondefault__45780.json,2026-08-17T18:47:25.985Z,2026-08-19T07:20:44.837Z,OK
variant.pax.nationality_gated,Pax/Pack Types,Nationality-gated pack (e.g. resident/local pricing),33907,23362,23362,537793408,"property NATIONALITY=""FOREIGN_TOURIST""",fixtures/variant.pax.nationality_gated__23362.json,2026-08-17T19:18:06.952Z,2026-08-19T07:21:03.067Z,OK
variant.pax.nationality_gated,Pax/Pack Types,Nationality-gated pack (e.g. resident/local pricing),33907,23363,23363,537793252,"property NATIONALITY=""INDONESIAN_CITIZEN""",fixtures/variant.pax.nationality_gated__23363.json,2026-08-17T19:18:06.958Z,2026-08-19T07:21:05.242Z,OK
variant.pax.per_type_range_bounded,Pax/Pack Types,Per-pax-type bounded range (inventory.pricing.persons[].paxRange.max not null) — distinct from variant.pax.min_max_nondefault; confirmed rare across sandbox regardless of inventory date,5073,16969,16969,576873490,personType=GENERAL paxRange.max=5,fixtures/variant.pax.per_type_range_bounded__16969.json,2026-08-19T07:18:25.540Z,2026-08-19T07:22:00.707Z,OK
variant.pax.per_type_range_bounded,Pax/Pack Types,Per-pax-type bounded range (inventory.pricing.persons[].paxRange.max not null) — distinct from variant.pax.min_max_nondefault; confirmed rare across sandbox regardless of inventory date,5073,44762,44762,576874889,personType=GENERAL paxRange.max=4,fixtures/variant.pax.per_type_range_bounded__44762.json,2026-08-19T07:18:25.543Z,2026-08-19T07:22:02.343Z,OK
variant.pricing.per_group,Pax/Pack Types,PER_GROUP priced product (vs PER_PERSON),9003,81053,81053,491865214,profileType=PER_GROUP,fixtures/variant.pricing.per_group__81053.json,2026-08-17T18:46:48.487Z,2026-08-19T07:20:42.925Z,OK
variant.pricing.per_group,Pax/Pack Types,PER_GROUP priced product (vs PER_PERSON),41929,90543,90543,531852578,profileType=PER_GROUP,fixtures/variant.pricing.per_group__90543.json,2026-08-17T18:48:22.575Z,2026-08-19T07:20:52.819Z,OK
variant.properties.single_value,Variant Properties,Variant with non-empty `properties` (single string-valued),11012,20691,20691,561104790,properties keys=[VALIDITY],fixtures/variant.properties.single_value__20691.json,2026-08-17T18:54:26.927Z,2026-08-19T07:20:57.296Z,OK
variant.properties.single_value,Variant Properties,Variant with non-empty `properties` (single string-valued),26993,55513,55513,536270935,properties keys=[LANGUAGE_CODE],fixtures/variant.properties.single_value__55513.json,2026-08-17T18:49:04.298Z,2026-08-19T07:20:53.516Z,OK
variant.properties.v2_multi_value,Variant Properties,Variant with `propertiesV2` multi-value entry (e.g. multi-nationality/language),,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.656Z,2026-08-19T07:33:15.656Z,NOT_FOUND
